Neptunian Script,Romanization,Pronunciation,Definition
PHDEKRIMI,Pahdegrimi,/pḁxˤˈð̟egˤɾ̟imi/,"Fellow, Shrinekeeper (n)"
PHDENE,Pahdene,/pḁxˤˈð̟en̟e/,"Author, Scribe (n)"
PHDENIF,Pahdeniv,/pḁxˤˈð̟en̟iβ/,Neighbor (n)
PHDECWMKEN,Pahdechwmgen,/pḁxˤˈð̟eʨ̟ɯmgˤen̟/,Organ (n)
PHDEGW,Pahdengw,/pḁxˤˈð̟eŋˤɯ/,Protector (n)
PHDEG,Pahdeng,/pḁxˤˈð̟eŋˤ/,Friend (n)
PHRE,Phre,/px̩ˤˈɾ̟e/,"I have, My (v/adj)"
PHDEI,Pahdei,/pḁxˤˈð̟ɛɪ/,I was (v)
PHCWKE,Phchwke,/px̩ˤˈʨ̟ɯkˤe/,Student (n)
PHYEG,Phyeng,/px̩ˤˈjˤeŋˤ/,Neptunian person (n)
PHG,Phng,/px̩ˤŋ̥ˤ/,"Path, Road (n)"
PHGNE,Phngne,/px̩ˤŋ̥ˤˈn̟e/,Spell (v)
PRE,Pre,/pɾ̟e/,"Sign, Gesture (n/v)"
PREPEI,Prepei,/pɾ̟eˈpɛɪ/,Verb (n)
PREPEIRI,Prepeiri,/pɾ̟eˈpɛɪɾ̟i/,Verb agreement (n)
PREFFAFE,Preffave,/ˈpɾ̟eɸːaβe/,Plural (n)
PREFFACACI,Preffachachi,/ˈpɾ̟eɸːaʨ̟aʨ̟i/,Counter word form (n)
PREFFAG,Preffang,/ˈpɾ̟eɸːaŋˤ/,Adjective (n)
PRENNAI,Prennai,/ˈpɾ̟en̟ːaɪ/,Name (n)
PREI,Prei,/pɾ̟ɛɪ/,Grow (v)
PREINYAF,Preinyav,/pɾ̟ɛɪˈn̟jˤaβ/,"Fault, Wrongdoing (n)"
PREICIN,Preichin,/pɾ̟ɛɪˈʨ̟in̟/,Spread (v)
PRA,Pra,/pɾ̟a/,"Pen, Pencil (n)"
PRAG,Prang,/pɾ̟aŋˤ/,Places we can't see (Pluto) (n)
PRAI,Prai,/pɾ̟aɪ/,Do (v)
PRAIHE,Praihe,/pɾ̟aɪˈxˤe/,Raise (v)
PRI,Pri,/pɾ̟i/,Lake (n)
PRIF,Priv,/pɾ̟iβ/,Face (n)
PRIKKEIM,Prikkeim,/ˈpɾ̟ikˤːɛɪm/,Wince (v)
PRW,Prw,/pɾ̟ɯ/,"Weather, Emotion (n)"
PRH,Prh,/pɾ̟̥x̩ˤ/,Tongue (n)
PRHKWFE,Prhkwve,/pɾ̟̥x̩ˤˈkˤɯβe/,Lexical stress (n)
PRHNW,Prahnw,/pɾ̟̥ḁxˤˈn̟ɯ/,Noun (n)
PRHN,Praht,/pɾ̟̥ḁxˤt̟/,Word (n)
PYE,Pye,/pjˤe/,"Shell, Flute (n)"
PYEN,Pyen,/pjˤen̟/,"Big shell, Bass flute (n)"
PYED,Pyed,/pjˤeð̟/,Bread (n)
PYEI,Pyei,/pjˤɛɪ/,"Ask, Question (v/n)"
PYEIFI,Pyeifi,/pjˤɛɪˈɸi/,Answer (n)
PYA,Pya,/pjˤa/,Art (n)
PYAKEG,Pyageng,/pjˤaˈgˤeŋˤ/,"Music, Song, Sing (n/v)"
PYASEN,Pyasen,/pjˤaˈɕ̟en̟/,Brazil (n)
PYACWYHG,Pyachwyhng,/pjˤaˈʨ̟ɯj̥ˤx̩ˤŋ̥ˤ/,Symbol (n)
PYAI,Pyai,/pjˤaɪ/,"Wear, Clothing, Skin, Shell (v/n)"
PYAIPRAG,Pyaiprang,/pjˤaɪˈpɾ̟aŋˤ/,"Undercover, Secluded (adj)"
PYAIFEM,Pyaifem,/pjˤaɪˈɸem/,Sensitive (adj)
PYAIMEF,Pyaimev,/pjˤaɪˈmeβ/,Stubborn (adj)
PYAIHAN,Pyaihan,/pjˤaɪˈxˤan̟/,Sock (n)
PYH,Pyh,/pj̥ˤx̩ˤ/,Shoulder (n)
FE,Fe,/ɸe/,Arm (n)
FEPREFFAFE,Fepreffave,/ɸeˈpɾ̟eɸːaβe/,Pluralize (v)
FEFW,Fevw,/ɸeˈβɯ/,Arms (pl.n)
FEF,Fev,/ɸeβ/,Cold (adj)
FEFFAF,Feffav,/ˈɸeɸːaβ/,"Cool, Interesting (adj)"
FEM,Fem,/ɸem/,M (the letter) (n)
FEMPASI,Fembasi,/ˈɸembaɕ̟i/,Embassy (n)
FENNYAHEI,Fennyahei,/ˈɸen̟ːjˤaxˤɛɪ/,"Show off, Highlight  (v)"
FES,Fes,/ɸeɕ̟/,S (the letter) (n)
FEC,Fech,/ɸeʨ̟/,X (the letter) (n)
FEYAPAI,Feyapai,/ˈɸejˤapaɪ/,Airport (n)
FEYYE,Feyyw,/ˈɸejˤːɯ/,Beaches (pl.n)
FEGINNAM,Feginnam,/ɸeˈgˤin̟ːam/,Vine (n)
FEI,Fei,/ɸɛɪ/,A (the letter) (n)
FEI,Fei,/ɸɛɪ/,Open (v)
FEIFHKRE,Feifahgre,/ɸɛɪˈɸḁxˤgˤɾ̟e/,Uncommon (adj)
FEIFFH,Feiffh,/ˈɸɛɪɸːx̩ˤ/,"Common, Shared (adj)"
FEIM,Feim,/ɸɛɪm/,Thin (adj)
FEINWFEI,Feinwvei,/ɸɛɪˈn̟ɯβɛɪ/,Doorknob (n)
FEIN,Fein,/ɸɛɪn̟/,"Divide, Distribute, Shrink (v)"
FEINNW,Feinnw,/ˈɸɛɪn̟ːɯ/,Slab (n)
FEIC,Feich,/ɸɛɪʨ̟/,H (the letter) (n)
FEIHEN,Feihen,/ɸɛɪˈxˤen̟/,Dig (v)
FA,Fa,/ɸa/,One (n)
FAPEM,Fabem,/ɸaˈbem/,Identity (n)
FAPEN,Fapen,/ˈɸapen̟/,Apple (n)
FAPES,Fabes,/ɸaˈbeɕ̟/,Isolate (v)
FAF,Fav,/ɸaβ/,"Cheer, Wow (v)"
FAMEYEKA,Fameyeka,/ɸaˈmejˤekˤa/,USA (v)
FANIFAP,Fanivap,/ɸaˈn̟iβap/,"Every, Each [People] (adj)"
FANIFAKWN,Fanivagwn,/ɸan̟iˈβagˤɯn̟/,"Every, Each [Structures] (adj)"
FANIFAN,Fanivan,/ɸaˈn̟iβan̟/,"Every, Each [Generic things] (adj)"
FANIFARI,Fanivari,/ɸan̟iˈβaɾ̟i/,"Every, Each [Times], Always (adj)"
FANIFAS,Fanivas,/ɸaˈn̟iβaɕ̟/,"Every, Each [Abstract things] (adj)"
FANIFACE,Fanivache,/ɸan̟iˈβaʨ̟e/,"Every, Each [Pairs] (adj)"
FANIFACI,Fanivachi,/ɸan̟iˈβaʨ̟i/,"Every, Each [Parts] (adj)"
FANIFAHEN,Fanivahen,/ɸan̟iˈβaxˤen̟/,"Every, Each [Natural things] (adj)"
FANIFAI,Fanivai,/ɸaˈn̟iβaɪ/,"Every, Each [Holdable things] (adj)"
FAD,Fad,/ɸað̟/,Earth (n)
FAS,Fas,/ɸaɕ̟/,Fox (n)
FACEF,Fachev,/ɸaˈʨ̟eβ/,"Particular, Especially (adj)"
FACACI,Fachachi,/ɸaˈʨ̟aʨ̟i/,"Number, Count (v)"
FACI,Fachi,/ɸaˈʨ̟i/,Shorten (v)
FAYAN,Fayan,/ˈɸajˤan̟/,Owl (n)
FAGWNYH,Fangwnyh,/ɸaˈŋˤɯn̟j̥ˤx̩ˤ/,Glory (n)
FAG,Fang,/ɸaŋˤ/,"Touch, Feel (v)"
FI,Fi,/ɸi/,"Yes, True (adj)"
FIFA,Fifa,/ɸiˈɸa/,E (the letter) (n)
FIF,Fiv,/ɸiβ/,Sleep (v)
FIFSEINYEM,Fivseinyem,/ɸiβˈɕ̟ɛɪn̟jˤem/,Dock (n)
FIMEIN,Fimein,/ˈɸimɛɪn̟/,Email (n)
FIM,Fim,/ɸim/,Mean (v)
FIN,Fin,/ɸin̟/,Far (v)
FINDEYA,Findeya,/ˈɸin̟ð̟ejˤa/,India (n)
FINDANISA,Findanisa,/ɸin̟ð̟aˈn̟iɕ̟a/,Indonesia (n)
FINYE,Finye,/ɸiˈn̟jˤe/,Dream (v/n)
FINYEMYH,Finyemyh,/ɸiˈn̟jˤemj̥ˤx̩ˤ/,"Bless, Dedicate (v)"
FINYA,Finya,/ɸiˈn̟jˤa/,In order to
FIREYA,Fireya,/ˈɸiɾ̟ejˤa/,Video (n)
FIREIS,Fireis,/ɸiˈɾ̟ɛɪɕ̟/,Erase (v)
FISAN,Fisan,/ɸiˈɕ̟an̟/,Ishaan (n)
FICA,Ficha,/ɸiˈʨ̟a/,V (the letter) (n)
FIGIS,Fingis,/ˈɸiŋˤiɕ̟/,English (n)
FIG,Fing,/ɸiŋˤ/,Make (v)
FIGFWM,Fingvwm,/ɸiŋˤˈβɯm/,Cook (v)
FIGKWN,Fingkwn,/ɸiŋˤˈkˤɯn̟/,Settle (v)
FW,Fw,/ɸɯ/,"Wind, Air (n)"
FWMEIFHN,Fwmeivaht,/ɸɯˈmɛɪḁxˤt̟/,Breakfast (n)
FWM,Fwm,/ɸɯm/,Eat (v)
FWN,Fwn,/ɸɯn̟/,"Gust, Gale (n)"
FWNNH,Fwnnah,/ˈɸɯn̟ːḁxˤ/,Recipe (n)
FWNNYEM,Fwnnyem,/ˈɸɯn̟ːjˤem/,Soup (n)
FWNYEI,Fwnyei,/ɸɯˈn̟jˤɛɪ/,Uranus Island (n)
FWNYAN,Fwnyan,/ɸɯˈn̟jˤan̟/,"Delicious, Tasty (adj)"
FWDH,Fwdah,/ɸɯˈð̟ḁxˤ/,"Breathe, Whisper (v)"
FWCI,Fwchi,/ɸɯˈʨ̟i/,Breeze (n)
FH,Fh,/ɸx̩ˤ/,Spouse (n)
FHPEI,Fahbei,/ɸḁxˤˈbɛɪ/,"Potential partner (BF, GF, etc) (n)"
FHFEIN,Fhfein,/ɸx̩ˤˈɸɛɪn̟/,Simplify (v)
FHMWKAI,Fahmwkai,/ɸḁxˤˈmɯkˤaɪ/,Save (v)
FHNYE,Fahnye,/ɸḁxˤˈn̟jˤe/,"Heal, Cure (v)"
FHN,Faht,/ɸḁxˤt̟/,"Give, Cause, Send (v)"
FHRE,Fhre,/ɸx̩ˤˈɾ̟̥e/,Silence (v)
FHRMEN,Fhrmen,/ɸx̩ˤɾ̟̥ˈmen̟/,Organize (v)
FHS,Fhs,/ɸx̩ˤɕ̟/,Teach (v)
FHCWRI,Fhchwri,/ɸx̩ˤˈʨ̟ɯɾ̟i/,"Class, Lesson (n)"
FHYE,Fhye,/ɸx̩ˤˈjˤe/,Hands (pl.n)
FHYEM,Fhyem,/ɸx̩ˤˈjˤem/,Ages (pl.n)
FHYEM,Fhyem,/ɸx̩ˤˈjˤem/,Punctuation (n)
FHG,Fhng,/ɸx̩ˤŋ̥ˤ/,"Slow, Lazy (adj)"
FRE,Fre,/ɸɾ̟e/,Farm (v/n)
FREI,Frei,/ɸɾ̟ɛɪ/,Sad (adj)
FRA,Fra,/ɸɾ̟a/,"Hard, Thick (smoke) (adj)"
FRAF,Frav,/ɸɾ̟aβ/,Loud (adj)
FRAMAM,Framam,/ɸɾ̟aˈmam/,Palm (n)
FRAM,Fram,/ɸɾ̟am/,"Flat, Story (of a building) (n)"
FRAI,Frai,/ɸɾ̟aɪ/,"Finger, Claw (n)"
FRAIDE,Fraide,/ˈɸɾ̟aɪð̟e/,Friday (n)
FRAIRA,Fraira,/ˈɸɾ̟aɪɾ̟a/,Florida (n)
FRI,Fri,/ɸɾ̟i/,Head (n)
FRINYASE,Frinyase,/ɸɾ̟iˈn̟jˤaɕ̟e/,Grammar (n)
FRINYHN,Frinyaht,/ɸɾ̟iˈn̟jˤḁxˤt̟/,Standard (n)
FRIG,Fring,/ɸɾ̟iŋˤ/,"Normal, Basic, Default (adj)"
FRIGFH,Fringvah,/ɸɾ̟iŋˤˈβḁxˤ/,"Only, Just (adj)"
FRW,Frw,/ɸɾ̟ɯ/,Close Eyes (v)
FRWCE,Frwche,/ɸɾ̟ɯˈʨ̟e/,Forget (v)
FRH,Frh,/ɸɾ̟̥x̩ˤ/,"What, Which (n/adj)"
FRHFEN,Frahven,/ɸɾ̟̥ḁxˤˈβen̟/,"What, Which (pl.n/pl.adj)"
FRHF,Frahf,/ɸɾ̟̥ḁxˤɸ/,"Weird, Strange, Odd (adj)"
FRHS,Frhs,/ɸɾ̟̥x̩ˤɕ̟/,Maybe
KE,Ke,/kˤe/,Work (v)
KEFI,Kefi,/kˤeˈɸi/,Official (adj)
KENERA,Kenera,/ˈkˤen̟eɾ̟a/,Canada (n)
KERA,Kera,/kˤeˈɾ̟a/,Guitar (n)
KERIFWNNYA,Kerifwnnya,/kˤeɾ̟iˈɸɯn̟ːjˤa/,California (n)
KEDHREKEI,Kedahrekei,/kˤeˈð̟ḁxɾ̟ekɛɪ/,Thank you
KED,Ked,/kˤeð̟/,Cat (n)
KEI,Kei,/kˤɛɪ/,K (the letter) (n)
KEIPWN,Keipwn,/kˤɛɪˈpɯn̟/,Yellow (adj)
KEIN,Kein,/kˤɛɪn̟/,Fire (n)
KEIN,Kein,/kˤɛɪn̟/,Venus (n)
KEINKEIN,Keinkein,/kˤɛɪn̟ˈkˤɛɪn̟/,Venus Island (n)
KEINKW,Keinkw,/kˤɛɪn̟ˈkˤɯ/,Year by Venus (n)
KA,Ka,/kˤa/,"He, She, They, It (n)"
KAFI,Kavi,/ˈkˤaβi/,Coffee (n)
KAMWNIKEIRA,Kamwnikeira,/kˤamɯn̟iˈkˤɛɪɾ̟a/,Communicator (n)
KANCEM,Kanchem,/ˈkˤan̟ʨ̟em/,"Quantum, Entanglement (adj/n)"
KAYE,Kaye,/ˈkˤajˤe/,Car (n)
KAI,Kai,/kˤaɪ/,Fish (n)
KW,Kw,/kˤɯ/,Wheel (n)
KH,Kh,/kˤx̩ˤ/,Rain (n)
KHPW,Khpw,/kˤx̩ˤˈpɯ/,They are (v)
KHPWM,Khpwm,/kˤx̩ˤˈpɯm/,They are (pl.v)
KHKE,Kahge,/kˤḁxˤˈgˤe/,"They, Them (pl.n)"
KHRE,Khre,/kˤx̩ˤˈɾ̟e/,"They have, Their (v/adj)"
KHRERE,Khrere,/kˤx̩ˤˈɾ̟eɾ̟e/,"They have, Their (pl.v/adj)"
KHDEI,Kahdei,/kˤḁxˤˈð̟ɛɪ/,They were (v)
KHG,Khng,/kˤx̩ˤŋ̥ˤ/,Wall (n)
KHGPI,Khngpi,/kˤx̩ˤŋ̥ˤˈpi/,Front (n)
KHGSEI,Khngsei,/kˤx̩ˤŋ̥ˤˈɕ̟ɛɪ/,Back (n)
KRE,Kre,/kˤɾ̟e/,Hair (n)
KREK,Krek,/kˤɾ̟ekˤ/,Click (v)
KREM,Krem,/kˤɾ̟em/,"Break, Destroy (v)"
KREMKYAF,Kremgyav,/kˤɾ̟emˈgˤjˤaβ/,Bathroom (n)
KREI,Krei,/kˤɾ̟ɛɪ/,Fruit (n)
KREIM,Kreim,/kˤɾ̟ɛɪm/,"Pain, Hurting (n)"
KRA,Kra,/kˤɾ̟a/,Neck (n)
KRAFEN,Kraven,/kˤɾ̟aˈβen̟/,Kill (v)
KRAF,Krav,/kˤɾ̟aβ/,Die (v)
KRAFNYEM,Kravnyem,/kˤɾ̟aβˈn̟jˤem/,Poison (n/v)
KRAI,Krai,/kˤɾ̟aɪ/,Village (n)
KRAINYEM,Krainyem,/kˤɾ̟aɪˈn̟jˤem/,"Port, Station (n)"
KRAIRW,Krairw,/kˤɾ̟aɪˈɾ̟ɯ/,Town (n)
KRI,Kri,/kˤɾ̟i/,"Place, Put (v/n)"
KRIPRAG,Kriprang,/kˤɾ̟iˈpɾ̟aŋˤ/,Pluto Islands (n)
KRIFWM,Krivwm,/kˤɾ̟iˈβɯm/,Restaurant (n)
KRIFHN,Krivaht,/kˤɾ̟iˈβḁxˤt̟/,Where (n)
KRIFHNYE,Krivahnye,/kˤɾ̟iˈβḁxˤn̟jˤe/,Hospital (n)
KRIKE,Krike,/kˤɾ̟iˈkˤe/,Office (n)
KRIKEIN,Krikein,/kˤɾ̟iˈkˤɛɪn̟/,Firepit (n)
KRIKA,Krika,/kˤɾ̟iˈkˤa/,Store (n)
KRIMI,Krimi,/kˤɾ̟iˈmi/,Shrine (n)
KRIMYAME,Krimyame,/kˤɾ̟iˈmjˤame/,Universe (n)
KRINE,Krine,/kˤɾ̟iˈn̟e/,"Garden, Courtyard, Chart (n)"
KRINNEKWN,Krinnekwn,/ˈkˤɾ̟in̟ːekɯn̟/,"Roof, Ceiling (n)"
KRINNW,Krinnw,/ˈkˤɾ̟in̟ːɯ/,Sky (n)
KRIREIKE,Krireike,/kˤɾ̟iˈɾ̟ɛɪkˤe/,Toward
KRIRAM,Kriram,/kˤɾ̟iˈɾ̟am/,Forest (n)
KRIRI,Kriri,/kˤɾ̟iˈɾ̟i/,Here (n)
KRIDW,Kridw,/kˤɾ̟iˈð̟ɯ/,Jupiter Island (n)
KRICA,Kricha,/kˤɾ̟iˈʨ̟a/,"Remain, Stay (v)"
KRICIN,Krichin,/kˤɾ̟iˈʨ̟in̟/,Field (n)
KRICW,Krichw,/kˤɾ̟iˈʨ̟ɯ/,Bank (n)
KRICWFEIFFH,Krichwveiffh,/kˤɾ̟iˈʨ̟ɯβɛɪɸːx̩ˤ/,Committee (n)
KRICWKE,Krichwke,/kˤɾ̟iˈʨ̟ɯkˤe/,School (n)
KRW,Krw,/kˤɾ̟ɯ/,"House, Home (n)"
KRWKEM,Krwkem,/kˤɾ̟ɯˈkem/,Fort (n)
KRWKAI,Krwkai,/kˤɾ̟ɯˈkˤaɪ/,Shelter (n)
KRWKKEN,Krwkken,/ˈkˤɾ̟ɯkˤː en/,Apartment (n)
KRWM,Krwm,/kˤɾ̟ɯm/,Fight (v)
KRWN,Krwn,/kˤɾ̟ɯn̟/,Building (n)
KRWNFHF,Krwnvahf,/kˤɾ̟ɯn̟ˈβḁxˤɸ/,Chaos (n)
KRWNNE,Krwnne,/ˈkˤɾ̟ɯn̟ːe/,City (n)
KRWNNEPIKHN,Krwnnepikaht,/ˈkˤɾ̟ɯn̟ːepikˤḁxˤt̟/,Settlement (n)
KRWNYH,Krwnyh,/kˤɾ̟ɯˈn̟j̥x̩ˤ/,Lighthouse (n)
KRH,Krh,/kˤɾ̟̥x̩ˤ/,"No, False (adj)"
KRHF,Krahf,/kˤɾ̟̥ḁxˤɸ/,"Weak, Few (adj)"
KRHKEI,Krahgei,/kˤɾ̟̥ḁxˤˈgˤɛɪ/,Against
KRHM,Krahp,/kˤɾ̟̥ḁxˤp/,Room (n)
KRHNW,Krahnw,/kˤɾ̟̥ḁxˤˈn̟ɯ/,Nothing (n)
KRHG,Krhng,/kˤɾ̟̥x̩ˤŋ̥ˤ/,Annoying (adj)
ME,Me,/me/,Shape (n)
MEN,Men,/men̟/,N (the letter) (n)
MENDES,Mendes,/ˈmen̟ð̟eɕ̟/,Mantis (n)
MESEKA,Meseka,/ˈmeɕ̟ekˤa/,Mexico (n)
MEHMYE,Mehmye,/mexˤˈmjˤe/,Circle (n)
MEYERAN,Meyeran,/ˈmejˤeɾ̟an̟/,Maryland (n)
MEG,Meng,/ˈmeŋˤ/,Milk (n)
MEI,Mei,/mɛɪ/,"Wash, Clean (v)"
MEIF,Meiv,/mɛɪβ/,"Thick, Wide (adj)"
MEINI,Meini,/mɛɪˈn̟i/,Clean (adj)
MA,Ma,/ma/,Happy (adj)
MAME,Mame,/maˈme/,Joy (n)
MAM,Mam,/mam/,Mouth (n)
MANDEI,Mandei,/ˈman̟ð̟ɛɪ/,Monday (n)
MACIFAS,Machifas,/ˈmaʨ̟iɸaɕ̟/,Multiverse (n)
MACCI,Macchi,/ˈmaʨ̟ːi/,Cute (n)
MAGW,Mangw,/maˈŋˤɯ/,Bay (n)
MAI,Mai,/maɪ/,Tail (n)
MAI,Mai,/maɪ/,Y (the letter) (n)
MI,Mi,/mi/,Nose (n)
MIN,Min,/min̟/,Line (n)
MINKRIM,Mingrim,/min̟ˈgˤɾ̟im/,"Fence, Surround (n/v)"
MW,Mw,/mɯ/,"Live, Be (n)"
MWP,Mwp,/mɯp/,Also
MWFE,Mwve,/mɯˈβe/,"Live, Be [Future] (pl.v)"
MWFHN,Mwvaht,/mɯˈβḁxˤt̟/,"Become, Hatch, Birth (v)"
MWF,Mwv,/mɯβ/,"Live, Be [Future] (v)"
MWMEPHP,Mwmephp,/mɯˈmepx̩ˤp/,"Together, Fasten (v)"
MWM,Mwm,/mɯm/,Life (n)
MWM,Mwm,/mɯm/,"Live, Be (pl.v)"
MWRERAMNI,Mwreramni,/mɯˈɾ̟eɾ̟amn̟i/,Lush (adj)
MWD,Mwd,/mɯð̟/,"Live, Be [Past] (v)"
MWCEMRAM,Mwchemram,/mɯˈʨ̟emɾ̟am/,Camp (v/n)
MWGKRAF,Mwngrav,/mɯŋˤˈgˤɾ̟aβ/,Spirit (n)
MH,Mah,/mḁxˤ/,Dull (adj)
MH,Mah,/mḁxˤ/,"Parent, Old (n/adj)"
MHM,Mahp,/mḁxˤp/,Parent (pl.n)
MHNIM,Mahnim,/mḁxˤˈn̟im/,Family (n)
MHN,Maht,/mḁxˤt̟/,"Beautiful, Pretty (adj)"
MYE,Mye,/mjˤe/,Guess (v)
MYEM,Myem,/mjˤem/,"Hill, Bump (n)"
MYEI,Myei,/mjˤɛɪ/,Fun (adj)
MYA,Mya,/mjˤa/,Planet (n)
MYAN,Myan,/mjˤan̟/,"Celestial, Planetary (adj)"
MYACEFNW,Myachevnw,/mjˤaˈʨ̟eβn̟ɯ/,Type (n)
MYAI,Myai,/mjˤaɪ/,Rainbow (n)
MYH,Myh,/mj̥ˤx̩ˤ/,Start (v)
NE,Ne,/n̟e/,Hit (v)
NEPYAKEG,Nebyageng,/n̟eˈbjˤagˤeŋˤ/,"Dance, Party, Festival (v/n)"
NEFW,Nevw,/n̟eˈβɯ/,"Punch, Slash, Snare (v/n)"
NENYARI,Nenyari,/n̟eˈn̟jˤaɾ̟i/,Newspaper (n)
NEN,Nen,/n̟en̟/,Blast (v)
NEHW,Nehw,/n̟eˈxˤɯ/,Kick (v)
NEI,Nei,/n̟ɛɪ/,"Flower, Lightweight (n/adj)"
NA,Na,/n̟a/,"Sand, Brown (n/adj)"
NAPYEI,Nabyei,/n̟aˈbjˤɛɪ/,Alright?
NAME,Name,/n̟aˈme/,Sugar (n)
NANEN,Nanen,/n̟aˈn̟en̟/,Inevitable (adj)
NAN,Nan,/n̟an̟/,Gravel (n)
NAYYA,Nayya,/ˈn̟ajˤːa/,Tomorrow (n)
NAG,Nang,/n̟aŋˤ/,Mars (n)
NAGPWN,Nangpwn,/n̟aŋˤˈpɯn̟/,Red (adj)
NAGKW,Nangkw,/n̟aŋˤˈkˤɯ/,Year by Mars (n)
NAI,Nai,/n̟aɪ/,"Call, Summon (v)"
NAI,Nai,/n̟aɪ/,Night (n)
NI,Ni,/n̟i/,"And, Add (v)"
NIFAFAP,Nifavap,/n̟iˈɸaβap/,Populous (adj)
NIFWM,Nifwm,/n̟iˈɸɯm/,Food (n)
NIFH,Nifh,/n̟iˈɸx̩ˤ/,First (adj)
NIF,Niv,/n̟iβ/,Near (adj)
NIKRH,Nikrh,/n̟iˈkˤɾ̟̥x̩ˤ/,Without
NIKRHKEI,Nikrhkei,/n̟iˈkˤɾ̟̥x̩ˤkˤɛɪ/,Alone (adj)
NINAHEN,Ninahen,/n̟iˈn̟axˤen̟/,"Rough, Complex (adj)"
NINWKRH,Ninwkrh,/n̟iˈn̟ɯgˤɾ̟̥x̩ˤ/,Exclude (v)
NINWN,Ninwn,/n̟iˈn̟ɯn̟/,Include (v)
